,area_id,area_name,lat_min,lat_max,lon_min,lon_max
0,1,Central,33.7171,34.5877,-118.5286,-117.6596
1,2,Rampart,33.75,34.5491,-118.4964,-117.7115
2,3,Southwest,33.7206,34.706,-118.5387,-117.8824
3,4,Hollenbeck,33.7491,34.634,-118.4955,-117.71
4,5,Harbor,33.7058,34.6828,-118.8279,-117.809
5,6,Hollywood,33.8361,34.2335,-118.8276,-117.9113
6,7,Wilshire,33.7953,34.5539,-118.5513,-117.8945
7,8,West LA,33.7586,34.2552,-118.5713,-118.1195
8,9,Van Nuys,34.0497,34.6116,-118.6667,-118.179
9,10,West Valley,34.0413,34.5793,-118.6385,-118.1399
10,11,Northeast,33.7663,34.2871,-118.5467,-117.8937
11,12,77th Street,33.7851,34.706,-118.4908,-117.9502
12,13,Newton,33.7261,34.5544,-118.5263,-117.9514
13,14,Pacific,33.7451,34.6765,-118.6332,-117.7284
14,15,N Hollywood,33.8093,34.5418,-118.5405,-118.0664
15,16,Foothill,33.7418,34.3269,-118.7668,-117.7119
16,17,Devonshire,33.8118,34.6165,-118.6485,-118.0115
17,18,Southeast,33.7171,34.7907,-118.5254,-117.9502
18,19,Mission,33.8015,34.6331,-118.6278,-117.7477
19,20,Olympic,33.3427,34.288,-118.4993,-117.7157
20,21,Topanga,33.7652,34.4311,-118.6677,-118.1912
